person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
-1.0859679140410945,-1.078108590996358,2,0.05396108325760878,1,1,-1.3671386565466879,0.034188886913827696,-0.5240475022792295,-0.6550279455967264,0,-0.9386767934987879
-0.44021235897002414,-1.078108590996358,0,-0.9373831152932232,3,2,-0.6567359545438862,0.5976719250401756,1.9082239599477524,3.7677296550172072,0,-0.6921734584715454
-0.7630901365055593,-0.01877143231912544,3,-0.1938749663800992,3,2,4.000348425252257,1.3663539886113796,1.9082239599477524,3.3913247528372987,0,-0.9386767934987879
-0.6016512477377918,-0.2291228180314203,3,0.7974692321707327,3,2,4.000348425252257,1.053669759362076,1.9082239599477524,3.5795272039272534,1,-0.4456701234443032
-1.0859679140410945,-1.0724234184095391,2,-0.6895470656555152,5,0,-1.1303377558790872,-1.2686620682916023,1.9082239599477524,0.7564904375779334,0,-0.9386767934987879
-0.27877347020225657,0.20105524103786737,3,0.7974692321707327,1,1,4.000348425252257,0.451101192579565,1.9082239599477524,2.63851494847748,0,-0.6921734584715454
-0.6016512477377918,0.23622750877498622,3,0.05396108325760878,3,1,4.000348425252257,0.0244175047497866,1.9082239599477524,2.544413722932503,0,-0.4456701234443032
-0.6016512477377918,0.31286363524530336,3,0.7974692321707327,4,0,4.000348425252257,-0.695407648001213,1.9082239599477524,2.3562112718425476,0,-0.9386767934987879
-1.0859679140410945,-1.0705283608805995,2,0.3017971328953168,5,3,-1.2724182962796475,1.2067547465987143,1.9082239599477524,-0.09042059232686248,0,-0.6921734584715454
-0.9245290252733269,0.3507647858240952,3,0.3017971328953168,5,1,4.000348425252257,-0.21660992196321796,1.9082239599477524,2.2621100462975705,0,-0.4456701234443032
-1.0859679140410945,-1.0705283608805995,2,-0.6895470656555152,2,0,-0.8146032216556199,-0.7833500874775794,1.9082239599477524,2.63851494847748,0,-0.9386767934987879
-0.7630901365055593,0.5402705387180545,3,-0.6895470656555152,5,0,4.000348425252257,-1.0211203868025704,1.9082239599477524,1.8857051441176613,0,-0.9386767934987879
-0.27877347020225657,0.789660109526505,3,-0.1938749663800992,1,4,4.000348425252257,2.395606243223669,1.9082239599477524,1.4151990163927748,0,-0.4456701234443032
-0.7630901365055593,0.9192820445059732,3,-0.6895470656555152,1,0,4.000348425252257,-1.0211203868025704,-0.5240475022792295,1.2269965653028199,0,-0.4456701234443032
-0.7630901365055593,8.215253530923407,0,0.5496331825330247,0,1,3.2110120896935883,-0.12541035509883752,-0.5240475022792295,-1.0314328477766357,0,-0.6921734584715454
-0.7630901365055593,1.014034920952953,3,-1.1852191649309312,1,0,4.000348425252257,-1.0211203868025704,-0.5240475022792295,1.1328953397578425,0,-0.4456701234443032
-0.7630901365055593,0.4855223267069897,3,0.5496331825330247,3,5,4.000348425252257,3.0014319373941936,1.9082239599477524,1.4151990163927748,0,-0.4456701234443032
-0.7630901365055593,0.8813808939271813,3,0.7974692321707327,0,3,4.000348425252257,2.3500064597914787,1.9082239599477524,1.3210977908477974,0,-0.4456701234443032
-0.6016512477377918,-1.0553679006490828,0,0.7974692321707327,1,1,-1.2487382062128876,-0.014668023906376034,1.9082239599477524,-0.09042059232686248,0,-0.9386767934987879
-0.44021235897002414,1.81943437075228,3,-0.6895470656555152,5,0,4.000348425252257,-1.154662609711127,-0.5240475022792295,0.47418676094300144,0,-0.4456701234443032
-0.44021235897002414,1.3361947008726838,3,1.0453052818084407,4,4,3.96877497182991,1.8679516063654695,-0.5240475022792295,0.7564904375779334,1,-0.9386767934987879
-0.9245290252733269,-0.028246719963823406,3,-0.1938749663800992,1,3,3.842481158140523,2.1317789247945687,1.9082239599477524,3.297223527292321,0,-0.4456701234443032
-0.6016512477377918,-1.0519567970969916,2,-1.1852191649309312,4,0,-1.2882050229908208,-1.2198051574713986,-0.5240475022792295,-0.27862304341681704,0,-0.6921734584715454
-0.9245290252733269,0.25601190937711554,3,-0.44171101601780716,4,3,3.8345877947849365,1.1416121988384424,1.9082239599477524,2.3562112718425476,1,-0.4456701234443032
-0.6016512477377918,0.023791559780857823,3,0.7974692321707327,2,2,3.6846138910287896,0.5357865046679179,1.9082239599477524,3.0149198506573893,0,-0.6921734584715454
-1.0859679140410945,-1.0515777855912036,0,-0.44171101601780716,5,4,-0.80276317662224,2.183892963002786,1.9082239599477524,2.3562112718425476,1,-0.6921734584715454
-0.7630901365055593,-1.0515777855912036,2,-1.1852191649309312,4,0,-1.3039917497019944,-0.5586082977046429,-0.5240475022792295,-0.37272426896179445,0,-0.6921734584715454
-0.6016512477377918,-0.028246719963823406,3,0.3017971328953168,2,1,3.6056802574729225,-0.34038076270773343,1.9082239599477524,3.1090210762023665,0,-0.6921734584715454
-1.0859679140410945,-1.0442060118036287,1,0.05396108325760878,1,2,-0.8935368552114867,0.587900542876135,1.9082239599477524,1.6975026930277064,1,-0.9386767934987879
-1.0859679140410945,-1.0417234864407179,2,0.05396108325760878,3,1,-1.209271389434954,0.027674632137800106,1.9082239599477524,0.0036806332181149354,0,-0.6921734584715454
-0.44021235897002414,1.014034920952953,3,-0.6895470656555152,5,0,3.526746623917056,-1.438032692468308,-0.5240475022792295,0.9446928886678883,0,-0.9386767934987879
-0.27877347020225657,0.5402705387180545,3,0.5496331825330247,2,2,3.376772720160909,1.0210984854819405,1.9082239599477524,1.5093002419377521,1,-0.6921734584715454
